,price,MA_25,signal
2023-11-16 22:41:53,36159.09,,nan
2023-11-16 22:41:54,36159.08,,nan
2023-11-16 22:41:55,36159.09,,nan
2023-11-16 22:41:56,36159.08,,nan
2023-11-16 22:41:57,36153.39,,nan
2023-11-16 22:41:58,36153.39,,nan
2023-11-16 22:41:59,36153.38,,nan
2023-11-16 22:42:00,36153.39,,nan
2023-11-16 22:42:01,36153.38,,nan
2023-11-16 22:42:02,36153.38,,nan
2023-11-16 22:42:03,36153.39,,nan
2023-11-16 22:42:04,36153.39,,nan
2023-11-16 22:42:05,36153.39,,nan
2023-11-16 22:42:07,36153.39,,nan
2023-11-16 22:42:08,36153.39,,nan
2023-11-16 22:42:09,36153.39,,nan
2023-11-16 22:42:10,36153.39,,nan
2023-11-16 22:42:11,36151.11,,nan
2023-11-16 22:42:12,36151.11,,nan
2023-11-16 22:42:13,36151.1,,nan
2023-11-16 22:42:14,36151.1,,nan
2023-11-16 22:42:15,36151.11,,nan
2023-11-16 22:42:16,36151.11,,nan
2023-11-16 22:42:18,36151.11,,nan
2023-11-16 22:42:19,36151.1,36153.5692,sell
2023-11-16 22:42:20,36151.11,36153.25,sell
2023-11-16 22:42:21,36151.11,36152.9312,sell
2023-11-16 22:42:22,36151.1,36152.6116,sell
2023-11-16 22:42:23,36151.11,36152.2928,sell
2023-11-16 22:42:24,36151.1,36152.2012,sell
2023-11-16 22:42:25,36151.1,36152.109599999996,sell
2023-11-16 22:42:27,36151.1,36152.0184,sell
2023-11-16 22:42:28,36151.11,36151.9272,sell
2023-11-16 22:42:29,36151.11,36151.8364,sell
2023-11-16 22:42:30,36151.11,36151.745599999995,sell
2023-11-16 22:42:31,36151.11,36151.6544,sell
2023-11-16 22:42:32,36151.1,36151.5628,sell
2023-11-16 22:42:33,36151.11,36151.471600000004,sell
2023-11-16 22:42:34,36151.1,36151.38,sell
2023-11-16 22:42:35,36151.1,36151.2884,sell
2023-11-16 22:42:36,36151.1,36151.1968,sell
2023-11-16 22:42:37,36151.11,36151.1056,buy
2023-11-16 22:42:38,36151.11,36151.1056,buy
2023-11-16 22:42:39,36151.1,36151.1052,sell
2023-11-16 22:42:40,36151.11,36151.1056,buy
2023-11-16 22:42:41,36151.1,36151.1056,sell
2023-11-16 22:42:42,36151.1,36151.1052,sell
2023-11-16 22:42:43,36151.1,36151.1048,sell
2023-11-16 22:42:44,36151.1,36151.1044,sell
2023-11-16 22:42:45,36151.11,36151.1048,buy
2023-11-16 22:42:46,36151.1,36151.1044,sell
2023-11-16 22:42:47,36151.1,36151.104,sell
2023-11-16 22:42:48,36151.1,36151.10400000001,sell
2023-11-16 22:42:49,36151.11,36151.104,buy
2023-11-16 22:42:50,36150.84,36151.0936,sell
2023-11-16 22:42:51,36150.83,36151.0828,sell
2023-11-16 22:42:52,36150.84,36151.072400000005,sell
2023-11-16 22:42:53,36150.02,36151.0288,sell
2023-11-16 22:42:54,36150.02,36150.9852,sell
